Filename,Time (s),Time (us),Hour,Burst Number,Image Number,Gain
data/img/img_1348368140_435805_00148_00114_1.dat,1348368140,435805,20.7056766125,148,114,1
data/img/img_1348368117_371124_00147_00457_0.dat,1348368117,371124,20.6992697567,147,457,0
data/img/img_1348368138_835284_00148_00098_1.dat,1348368138,835284,20.7052320233,148,98,1
data/img/img_1348368141_569492_00148_00125_1.dat,1348368141,569492,20.7059915256,148,125,1
data/img/img_1348368118_371428_00147_00467_0.dat,1348368118,371428,20.6995476189,147,467,0
data/img/img_1348368154_440284_00148_00254_1.dat,1348368154,440284,20.7095667456,148,254,1
data/img/img_1348368115_837301_00147_00442_0.dat,1348368115,837301,20.6988436947,147,442,0
data2/img/img_1348368140_435805_00148_00114_1.dat,1348368140,435805,20.7056766125,148,114,1
data2/img/img_1348368117_371124_00147_00457_0.dat,1348368117,371124,20.6992697567,147,457,0
data2/img/img_1348368138_835284_00148_00098_1.dat,1348368138,835284,20.7052320233,148,98,1
data2/img/img_1348368141_569492_00148_00125_1.dat,1348368141,569492,20.7059915256,148,125,1
data2/img/img_1348368118_371428_00147_00467_0.dat,1348368118,371428,20.6995476189,147,467,0
data2/img/img_1348368154_440284_00148_00254_1.dat,1348368154,440284,20.7095667456,148,254,1
data2/img/img_1348368115_837301_00147_00442_0.dat,1348368115,837301,20.6988436947,147,442,0
